18 0 0 4.75
33 -955 -682 5.08
34 251 -715 5.08
35 512 -775 5.082
31 558 -641 5.083
30 328 -618 5.09
29 -101 -492 5.092
28 -408 -521 5.093
27 -572 -412 5.083
32 -479 -853 5.083
21 -750 -134 5.078
22 -524 -181 5.092
16 -599 -25 5.09
17 -311 3 5.098
11 -358 322 5.09
10 -599 349 5.08
12 -183 273 5.098
5 -701 300 5.079
6 -275 575 5.09
1 -669 760 5.081
2 -334 779 5.077
7 -84 485 5.089
8 201 572 5.083
3 235 667 5.077
4 479 749 5.069
9 558 575 5.071
15 651 123 5.08
14 508 175 5.088
20 596 540 5.088
19 276 -100 5.097
13 192 182 5.094
25 469 -372 5.088
26 656 -411 5.081
24 88 -228 5.098
23 -72 -243 5.099
